  0.00000000E+00 -0.29149254E+01  0.26518759E+01 -0.29149254E+01  0.26518759E+01 -0.68298508E+01  0.53037517E+01
  0.50000000E-01 -0.24897695E+01  0.27557270E+01 -0.33099770E+01  0.25809567E+01 -0.67997465E+01  0.53366837E+01
  0.10000000E+00 -0.20726183E+01  0.29561956E+01 -0.37509512E+01  0.25327797E+01 -0.68235695E+01  0.54889752E+01
  0.15000000E+00 -0.16988296E+01  0.32800972E+01 -0.42112777E+01  0.25386695E+01 -0.69101073E+01  0.58187668E+01
  0.20000000E+00 -0.15316976E+01  0.37251793E+01 -0.47631996E+01  0.26254355E+01 -0.72948972E+01  0.63506147E+01
  0.25000000E+00 -0.15909549E+01  0.40085116E+01 -0.52936882E+01  0.29700497E+01 -0.78846431E+01  0.69785613E+01
  0.30000000E+00 -0.15945873E+01  0.41472627E+01 -0.55003889E+01  0.34509113E+01 -0.80949762E+01  0.75981740E+01
  0.35000000E+00 -0.16079596E+01  0.42747251E+01 -0.55402667E+01  0.36047152E+01 -0.81482263E+01  0.78794404E+01
  0.40000000E+00 -0.16539146E+01  0.43555260E+01 -0.59383866E+01  0.37677259E+01 -0.85923012E+01  0.81232519E+01
  0.45000000E+00 -0.17224408E+01  0.42824988E+01 -0.61811642E+01  0.44804538E+01 -0.89036050E+01  0.87629526E+01
  0.50000000E+00 -0.15475172E+01  0.41271765E+01 -0.54847987E+01  0.50647860E+01 -0.80323159E+01  0.91919625E+01
